iteration,baseline_mean_3d_iou,baseline_mean_bev_iou,baseline_mean_ate_m,baseline_mean_aoe_deg,geometry_v2_mean_3d_iou,geometry_v2_mean_bev_iou,geometry_v2_mean_ate_m,geometry_v2_mean_aoe_deg,delta_3d_iou_geom_minus_base,delta_bev_iou_geom_minus_base,delta_ate_m_geom_minus_base,delta_aoe_deg_geom_minus_base
1000,0.4239508647884316,0.444961526542272,0.6085048674883208,10.92052343027954,0.453592042950792,0.4536029288905181,0.6994983031738933,8.502194258840111,0.029641178162360393,0.008641402348246119,0.0909934356855725,-2.418329171439428
2000,0.5678281262089375,0.5960074407635226,0.4152977657107432,6.500600937743241,0.5990712625298422,0.5990861943916946,0.5257089755273944,4.8677751804141085,0.031243136320904696,0.003078753628172004,0.11041120981665115,-1.6328257573291323
3000,0.6212325541901693,0.6487842309167052,0.3262868693872292,4.727887341303521,0.6899595663573129,0.6899771955472395,0.36132602355720383,5.063824601492876,0.06872701216714361,0.041192964630534235,0.03503915416997466,0.3359372601893549
4000,0.6276192768090744,0.6565474210158461,0.3167439696415654,4.8696213049065,0.7360099414879526,0.7360290684098308,0.3027425113088534,4.202890110080575,0.10839066467887826,0.07948164739398478,-0.014001458332712047,-0.6667311948259247
5000,0.672407918892228,0.70247396078813,0.23484866711609395,3.2967594620908485,0.7267800991446002,0.7267989684135379,0.3045850716744137,3.4901970272508325,0.054372180252372226,0.0243250076254079,0.06973640455831973,0.193437565159984
6000,0.6623776605692243,0.6927242475457286,0.2816074608843507,3.0169114194238174,0.7626491578405964,0.7626691332458652,0.26314801736241794,3.121455962986216,0.10027149727137208,0.06994488570013657,-0.01845944352193274,0.10454454356239884
7000,0.7347439714697788,0.7666226016521184,0.1412802228982496,1.8213628083570417,0.8599400737756447,0.8599635725937751,0.1356678853888307,1.7420311858278827,0.12519610230586597,0.09334097094165672,-0.005612337509418891,-0.07933162252915893
8000,0.7436035423294256,0.7760715411326817,0.12904356586749802,1.6606024232977372,0.8624496585918305,0.8624732124244113,0.13700771077650784,1.7584648916863077,0.11884611626240493,0.0864016712917296,0.007964144909009818,0.09786246838857049
9000,0.745390300730906,0.7777574675993019,0.12747213005382999,1.5632058697550482,0.8730783878340619,0.8731023404312471,0.12563012398704013,1.5885348348683277,0.12768808710315593,0.09534487283194526,-0.0018420060667898586,0.025328965113279533
10000,0.7495586722333214,0.7820656911988043,0.12111903589401224,1.5841213683495612,0.8792332192005846,0.8792573961226378,0.11819667326891177,1.565731264435703,0.12967454696726322,0.09719170492383344,-0.002922362625100469,-0.01839010391385809
11000,0.7563441090311261,0.7888669771113079,0.10861441333625206,1.402498032918358,0.8898291939221658,0.8898537662419633,0.10844992212342075,1.4082294325453384,0.1334850848910396,0.1009867891306554,-0.00016449121283131085,0.005731399626980327
12000,0.7568610699772047,0.7894957997716978,0.10892111998993746,1.3744620206894365,0.8909121945160158,0.890936791468361,0.10701854269675735,1.3935489285528913,0.13405112453881107,0.10144099169666321,-0.0019025772931801077,0.019086907863454794
13000,0.7576229119785168,0.7902037682324274,0.10694161752974625,1.3659976593326035,0.8916974340158644,0.8917220690171316,0.10740314904521754,1.404766751026601,0.1340745220373476,0.10151830078470414,0.0004615315154712918,0.03876909169399756
14000,0.7579575592624342,0.7905361500273846,0.1062062743781701,1.357326612058505,0.8937104590073819,0.8937351623579293,0.10586878021982016,1.3731030021932433,0.13575289974494764,0.10319901233054463,-0.000337494158349938,0.015776390134738305
15000,0.7584007947557178,0.7910018047674049,0.10580025625883409,1.3457120993001077,0.8939438360930629,0.8939685546162431,0.10625636245422698,1.3770884867515758,0.13554304133734518,0.10296674984883825,0.0004561061953928941,0.03137638745146809
